STAID,Name,Station,GaugeLon,GaugeLat,Elev,Continents,Main_climates,Lat_centroid,Lon_centroid,Area,Area_shp,Nested,dLength,dStart,dEnd,DMiss,Q_mean,Flow_mm_yr,P_yr,PET_yr,AI,QP,AI_Basin_ATLAS,Source,FileName,WB_QC,Area_Bias_QC,Data_QC,AI_QC,LAI_multiyr_mean,LAI_trend,LAI_rr,LAI_p,GDAT,GRanD,LC_change_max_abs,dLength_Valid,dStart_1980,dEnd_1980,dLength_Valid_1980,Q_mean_1980,DMiss_1980,dLength_Valid_M,Q_mean_M,DMiss_M,dLength_Valid_M1980,Q_mean_M1980,DMiss_M1980,dStart_M,dEnd_M,dStart_M1980,dEnd_M1980,Region,dor_pc_pva,ire_pc_sse,Trend_group,Annual_group,MainClimates,Area_final
60790000,CAMELS-BR_60790000,ponte_rio_verdao,-50.5564,-17.5411,769.5627215,South America,A,-17.34624072,-50.99106418,8646.124,8671.142071,GRDC_3265810,20364,1962/8/16,2018/11/30,0.009581246,140.6503891,519.4808462,1263.334546,1100.397641,1.148070933,0.411198164,0.925619048,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60790000.csv,1,1,1,1,1.380816891,0.010983904,0.691305077,6.19E-10,,,1.599355496,20364,1980/1/1,2018/11/30,14214,148.8757782,0,19608,143.3741768,0.046349886,13836,150.6901308,0.026593499,1962/8/16,2018/11/30,1980/1/1,2018/11/30,SAM,0,1.276190476,TRUE,TRUE,equatorial,8646.124
60798000,CAMELS-BR_60798000,maurilandia,-50.3325,-17.9678,724.6918049,South America,A,-17.50830254,-50.89361219,12676.28,12729.30169,GRDC_3265810,16229,1974/6/26,2018/11/30,0,209.7757967,526.9509168,1516.803128,1335.57514,1.135692844,0.347408907,0.924609929,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60798000.csv,1,1,1,1,1.410309324,0.009446126,0.637279298,9.19E-09,,,1.696443933,16229,1980/1/1,2018/11/30,14214,212.9150969,0,16046,210.891486,0.011276111,14042,214.1221929,0.012100746,1974/6/26,2018/11/30,1980/1/1,2018/11/30,SAM,0,2.531914894,TRUE,TRUE,equatorial,12676.28
60810000,CAMELS-BR_60810000,fazenda_alianca,-50.0314,-18.1047,641.9409588,South America,A,-18.01457419,-49.80653465,1351.332,1354.006239,GRDC_3265810,17497,1969/5/17,2018/2/28,0.018125701,19.71567069,473.5748158,1265.413331,1169.130154,1.082354541,0.374245161,0.817916667,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60810000.csv,1,1,1,1,1.378729402,0.009016916,0.567721158,1.75E-07,,,0.603550559,17497,1980/1/1,2018/2/28,13616,19.99939542,0.023172394,17262,19.85710462,0.031313131,13415,20.14750354,0.037592367,1969/5/17,2018/2/28,1980/1/1,2018/2/28,SAM,0,2.625,TRUE,TRUE,equatorial,1351.332
60850000,CAMELS-BR_60850000,fazenda_buriti_do_prata,-49.1803,-19.3597,685.7933687,South America,A,-19.45242721,-48.74252125,2448.873,2451.398754,GRDC_3265810,28016,1941/9/17,2019/2/28,0.009650394,35.61003305,466.0611874,776.8434188,712.9926011,1.089553268,0.599942248,0.833333333,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60850000.csv,1,1,1,1,1.44759242,0.00693,0.379702769,8.11E-05,,,0.361125961,28016,1980/1/1,2019/2/28,14031,38.95159689,0.01908557,27835,35.7779423,0.016048641,13951,39.10142212,0.024678412,1941/9/17,2019/2/28,1980/1/1,2019/2/28,NES,0,0.777777778,TRUE,TRUE,equatorial,2448.873
60855000,CAMELS-BR_60855000,ponte_do_prata,-49.6972,-19.0356,637.4662689,South America,A,-19.34192968,-49.07131267,5223.887,5224.608462,GRDC_3265810,28274,1941/9/1,2019/2/28,0.001095213,66.68981884,401.6283962,773.204985,749.7165056,1.031329815,0.519433273,0.811285714,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60855000.csv,1,1,1,1,1.409721373,0.00579057,0.359707905,0.000140199,,,0.201046096,28274,1980/1/1,2019/2/28,14273,74.40641246,0.002167226,27839,67.29947793,0.016463522,14018,75.17106228,0.019994407,1941/9/1,2019/2/28,1980/1/1,2019/2/28,NES,0,0.471428571,TRUE,TRUE,equatorial,5223.887
60910000,CAMELS-BR_60910000,ponte_do_cedro,-52.6014,-17.5794,863.8870499,South America,A,-17.44657958,-52.6608461,625.0314,626.8418962,GRDC_3265810,18677,1965/8/23,2018/1/31,0.02495432,12.26399936,635.539132,1182.632651,1010.521124,1.170319573,0.537393528,1.009444444,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60910000.csv,1,1,1,1,1.38348224,0.015552956,0.766328448,5.96E-12,,,1.275762281,18677,1980/1/1,2018/1/31,13433,12.87604526,0.034361297,18411,12.36955021,0.038841034,13384,12.90348565,0.037883689,1965/8/23,2018/1/31,1980/1/1,2018/1/31,SAM,0,0,TRUE,TRUE,equatorial,625.0314
60925001,CAMELS-BR_60925001,ponte_sao_domingos,-50.6628,-19.2081,480.6461061,South America,A,-19.36937472,-50.18418568,3528.823,3530.296154,GRDC_3265810,16826,1972/8/18,2019/1/31,0.008368694,29.03316023,263.3041435,1201.604483,1308.638697,0.918209499,0.219127132,0.798214286,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60925001.csv,1,1,1,1,1.361714905,0.000780717,0.010342079,0.561036828,,,0.131647649,16826,1980/1/1,2019/1/31,14187,30.8116525,0.006234239,16373,29.5151205,0.035066007,13802,31.30527626,0.033202578,1972/8/18,2019/1/31,1980/1/1,2019/1/31,SAM,80.25,0.089285714,TRUE,TRUE,equatorial,3528.823
60930000,CAMELS-BR_60930000,fazenda_formoso,-52.5325,-18.4067,830.8388936,South America,A,-18.21703307,-52.9128358,1426.433,1430.553421,GRDC_3265810,14458,1979/1/18,2018/10/31,0.00509221,26.75315638,595.9354474,1624.927969,1419.205237,1.144956295,0.366745763,0.978846154,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60930000.csv,1,1,1,1,1.341795424,0.010366936,0.528074218,7.70E-07,,,1.39346083,14458,1980/1/1,2018/10/31,14110,26.76577775,0.005217146,13240,27.35133323,0.088907239,12902,27.37435367,0.090383531,1979/1/18,2018/10/31,1980/1/1,2018/10/31,SAM,0,0,TRUE,TRUE,equatorial,1426.433
60940000,CAMELS-BR_60940000,campo_alegre,-52.0964,-18.5161,803.5825796,South America,A,-18.21072858,-52.76739693,3091.322,3102.549121,GRDC_3265810,16898,1972/7/27,2018/10/31,0,59.62674553,611.8317889,1389.744011,1238.41441,1.122196253,0.440247833,0.97,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60940000.csv,1,1,1,1,1.343011087,0.008266447,0.451942653,9.74E-06,,,0.862492407,16898,1980/1/1,2018/10/31,14184,60.84001523,0,15170,60.76213118,0.102260623,12585,62.18216925,0.112732657,1972/7/27,2018/10/31,1980/1/1,2018/10/31,SAM,0,0,TRUE,TRUE,equatorial,3091.322
60950000,CAMELS-BR_60950000,canastra,-51.1492,-19.1003,671.824595,South America,A,-18.52707997,-52.17431042,6665.733,6698.744498,GRDC_3265810,16744,1972/7/20,2018/10/27,0.009289391,111.109214,531.1531389,1328.857495,1237.895179,1.073481436,0.399706621,0.934242424,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_60950000.csv,1,1,1,1,1.35926429,0.003850135,0.205578057,0.00622961,8.862244991,,0.427314575,16744,1980/1/1,2018/10/27,14023,114.278584,0.011071932,16206,112.0327477,0.041121827,13634,115.0061626,0.038504937,1972/7/20,2018/10/27,1980/1/1,2018/10/27,SAM,0,0,TRUE,TRUE,equatorial,6665.733
