Name,exp,if_regulated,Dams_Year_Min,Dams_Year_Max,Alpha,Thelta,m,Am_25,D0,kQ,kA,S_sls,fER0,VPDmin,VPDmax,hc,Ts,CFMAX,CFR,CWH,BETA,LP,FC,PERC,K0,K1,K2,UZL,MAXBAS
USGS_09210500,SimulationRaw,0,,,0.013954701,0.040881793,15.53403402,26.94425806,1.397553557,0.137072942,0.851869797,0.138541335,0.081280852,0.683180365,6.044018967,9.894850009,-4.514167657,18.33041002,0.49224513,0.447788554,5.406223877,0.919298433,1086.344151,53.77472185,0.635143645,0.097078118,0.032324456,292.195296,5.911278633
USGS_09304200,SimulationRaw,0,1964,1964,0.039170449,0.012139092,10.53259606,32.25407787,1.581368844,0.936947209,0.866607583,0.165789411,0.023677071,1.254507161,4.806142371,1.832557971,-3.661794076,0.872816108,0.800522654,0.072098056,2.230089371,0.774315717,1370.987027,56.78230357,0.229892226,0.013317568,0.022975464,262.8227702,2.577562578
USGS_09304800,SimulationRaw,0,1964,1964,0.040848622,0.033155208,17.75871358,32.34293036,1.925633688,0.589422314,0.841975297,0.064925299,0.142766292,1.239240577,5.962049838,9.500030433,-3.922569049,19.96858129,0.085791259,0.681508353,2.422455852,0.887679508,1046.404697,55.96579158,1.462813098,0.021822449,0.029430135,113.5842521,5.738902502
USGS_09306200,SimulationRaw,0,,,0.023627797,0.048544169,7.94240925,44.93833225,1.631996208,0.906922206,0.765267509,0.17272481,0.147218159,1.352734511,5.151329604,2.206735764,-0.441829555,2.200658595,0.524019921,0.058791413,6.728472951,0.496366382,1519.176305,57.09747686,0.721497703,0.018458066,0.020269844,208.6440001,1.494156768
USGS_09306222,SimulationRaw,0,,,0.013422862,0.047700048,17.55453803,27.44393382,1.089281283,0.87691879,0.763944356,0.172275538,0.020037004,1.049204325,3.680329306,3.093292023,1.727090457,7.912907652,0.208311582,0.003683436,5.261711284,0.327999558,1163.52294,48.97161349,1.403495775,0.025045264,0.027148359,23.08987488,1.47178696
USGS_09306242,SimulationRaw,0,,,0.038920635,0.0404951,23.14966101,44.26770865,0.600466934,0.819256847,0.720034918,0.072726358,0.109935081,0.963395415,4.15304104,0.542187699,1.519383865,3.90536123,0.064761155,0.166032811,6.418699692,0.551178947,1731.109708,2.00650282,1.100816241,0.085673464,0.026506771,263.4522586,1.199600058
USGS_09306290,SimulationRaw,0,1964,1964,0.04464561,0.018986588,17.5339169,18.66252596,1.656868087,0.237590946,0.801229862,0.111444247,0.080623348,1.096076426,4.956924391,6.080947884,-4.192491111,1.755011157,0.54212859,0.525754386,2.949523055,0.697729252,1301.275899,42.20282993,1.073773772,0.061098634,0.027767143,217.6398621,3.678008634
USGS_09306500,SimulationRaw,0,1964,1984,0.021472665,0.00848853,22.6002633,8.781609414,1.933389707,0.349490593,0.810499825,0.122172532,0.118397067,1.316600049,5.262931827,5.984219661,-2.537208591,4.758868441,0.92067691,0.32459554,6.845228367,0.651144969,1430.010036,90.30995163,1.43178322,0.054742792,0.032727679,45.14479706,5.229378939
USGS_09337000,SimulationRaw,0,,,0.012133935,0.042845063,6.755624921,41.85567054,1.942429299,0.950433709,0.768915866,0.153633395,0.132253445,0.719700553,5.761904429,4.627012669,-1.42224896,1.092991471,0.606296439,0.164810105,5.686113466,0.504815396,1228.621435,43.2655067,0.667435806,0.060835653,0.020840242,120.5103496,1.746218741
USGS_09346400,SimulationRaw,0,1965,2000,0.038589094,0.036005185,19.90963857,15.4215552,1.175660132,0.563572908,0.718480561,0.090232335,0.140347871,0.759449932,4.700982725,9.289639157,-0.74031157,10.78648421,0.887327906,0.331247684,4.626921142,0.727228287,1234.513824,33.6863136,1.888927692,0.035960002,0.029447206,150.244425,5.665139912
USGS_09349800,SimulationRaw,0,1958,1964,0.021973293,0.009614815,12.75704478,4.129878609,1.716327105,0.152902653,0.693370949,0.160799625,0.097661922,1.479543505,5.262133089,1.669725307,-0.152249142,4.015258486,0.06996715,0.314481099,5.908026113,0.958120019,655.1083292,77.81263286,1.786825643,0.087409322,0.020228734,80.29864216,1.145847092
USGS_09378170,SimulationRaw,0,,,0.027596405,0.032864448,18.58723646,22.98262896,1.659793727,0.290604565,0.819077554,0.063565232,0.102974361,0.821659784,4.364667207,4.793335453,2.429980941,5.748706114,0.842664332,0.61068459,6.111722915,0.702753407,881.8611666,92.90693928,1.81477611,0.06986889,0.031067865,291.1318427,4.07012397
USGS_09378630,SimulationRaw,0,,,0.0130614,0.048379011,15.96934859,28.84978926,1.534156978,0.532133407,0.843044326,0.023809276,0.016518456,1.474897377,5.241925776,4.928970061,3.710751663,18.01128976,0.009330164,0.013448148,6.781081532,0.308381886,426.8724108,56.0401102,1.470157342,0.052756734,0.03279159,140.7729419,4.32827876
USGS_09386950,SimulationRaw,0,,,0.038894692,0.067909677,10.87008498,34.07078312,1.516624609,0.493948929,0.878006378,0.019646554,0.087217784,1.024216173,5.695977166,6.630934141,4.769288027,0.176520884,0.20754257,0.788583688,6.969085264,0.322767982,584.9145799,65.17723083,0.828952804,0.058766022,0.02079892,168.2404718,1.498628103
USGS_09390500,SimulationRaw,0,,,0.019066001,0.014054957,23.94494594,41.96176091,0.753545118,0.412799459,0.862653183,0.025201584,0.067019195,0.687520975,3.983026706,1.407974931,1.936821601,19.00986568,0.177956273,0.212712452,6.560904006,0.70205001,340.4282001,0.401370881,1.785631402,0.663329074,0.023113403,203.45067,1.117155254
USGS_09403600,SimulationRaw,0,,,0.023515893,0.044767674,24.97379389,43.27680457,1.803311883,0.782410525,0.691914066,0.16008261,0.149886892,0.885799555,6.110325906,3.376805424,-2.076917338,12.28911078,0.254481453,0.446056104,2.545146463,0.642876602,1993.420363,29.16878473,1.097312283,0.033540596,0.021704769,69.34873609,1.0717938
USGS_09404450,SimulationRaw,0,,,0.041272869,0.061998614,19.73329912,43.13912566,1.833620689,0.381605077,0.840028208,0.110612204,0.03822405,1.477822212,3.876479795,7.112578839,0.082467591,2.896387887,0.837945955,0.104817409,1.940696666,0.80813014,1630.228457,49.57061417,1.928970485,0.026068007,0.020127323,122.057745,3.320737042
USGS_09405500,SimulationRaw,0,1956,1956,0.0121477,0.01472149,23.42521957,12.78957262,1.950140364,0.885941243,0.723644728,0.003562645,0.080483806,1.351901439,5.084821712,1.03246044,-2.303194587,18.82066304,0.425417491,0.612818256,6.254721219,0.877018115,1972.366583,33.0311108,1.783243725,0.021946339,0.031071885,181.4232552,5.786675628
USGS_09406000,SimulationRaw,0,1956,1988,0.037661673,0.050195034,25.10907715,33.497112,0.68197739,0.171623527,0.729273312,0.119647502,0.124909829,1.304407909,5.709698312,2.629036712,-1.916142423,19.44472222,0.669101761,0.627215267,2.956266434,0.588020819,1503.382906,84.51973665,0.585562343,0.034647622,0.023388175,105.1909612,5.876833944
USGS_09424900,SimulationRaw,0,,,0.029160477,0.062937618,16.37267836,34.53910998,1.870294323,0.918962498,0.770219204,0.155038613,0.148931717,1.392640798,6.445824114,7.073263092,2.777729475,9.409573834,0.587133818,0.14433494,6.764275308,0.391307041,1025.216876,86.13470545,0.992128912,0.520902285,0.024059071,47.12347508,1.137857789
USGS_09430500,SimulationRaw,0,1963,1963,0.029287585,0.033157933,15.68603407,25.50924746,0.631534692,0.562989557,0.8390016,0.000711709,0.128758589,1.330159648,6.192431988,1.997806021,1.135204574,12.46711636,0.73013937,0.490687557,4.769866333,0.655759307,1321.32404,53.63186797,1.883812347,0.171375212,0.033194529,1.017004316,2.286400637
USGS_09431500,SimulationRaw,0,1963,1969,0.01692267,0.053910916,23.34013161,24.88309809,1.143296297,0.791187366,0.698783071,0.042567805,0.088068693,1.482573722,4.132721891,8.889170622,-3.54303379,7.45160972,0.979388341,0.398550028,5.100693726,0.789690443,418.8722617,47.1390182,0.331968789,0.417984405,0.031239732,10.86793663,1.096088976
USGS_09432000,SimulationRaw,0,1963,1969,0.033155162,0.03031722,14.40745913,36.68735419,1.83447171,0.979463123,0.822115983,0.082050714,0.008956404,1.14575745,4.504847254,0.428772886,-4.306976379,16.30713941,0.59234488,0.550402795,6.042791691,0.613110563,708.0357728,2.512223222,0.40673736,0.293218742,0.064599725,175.865671,1.145313965
USGS_09444000,SimulationRaw,0,,,0.012678161,0.043487561,22.27244462,11.93225687,1.823837946,0.11946571,0.744639892,0.025109734,0.037578895,0.77404351,4.439964716,5.105157802,0.448880697,14.4246766,0.856943723,0.754666153,6.079510071,0.629858255,493.9546337,86.80347967,1.966635051,0.458645146,0.02576983,1.725109957,1.730246164
USGS_09444500,SimulationRaw,0,,,0.012862943,0.056996573,23.87795442,7.546466136,1.680006303,0.703033738,0.806924102,0.058875317,0.140303332,0.815200584,3.730152224,1.97134501,-1.499722248,4.125679182,0.078075863,0.520087892,5.800486747,0.645892084,586.314358,89.39945988,1.645401658,0.56071179,0.027820742,237.0462955,1.698515299
USGS_09447800,SimulationRaw,0,,,0.021906483,0.060986819,24.96912238,41.15380459,1.986786491,0.855203298,0.68255814,0.014802311,0.066924537,0.662588084,5.495115537,8.164183758,0.38337721,13.86288319,0.871164816,0.546848589,3.30666904,0.383476358,1070.778081,60.38490464,1.570653517,0.313325148,0.020753803,254.4223382,1.402873226
USGS_09448500,SimulationRaw,0,1963,1982,0.022576997,0.066185818,16.7756236,45.08047902,1.389862785,0.563366278,0.726354425,0.023649148,0.052821589,0.99308958,3.54607893,4.047949185,1.509414173,4.055104939,0.785433636,0.097452615,6.740412636,0.727330959,454.9256725,72.85401322,1.385881431,0.455723878,0.024216556,2.189776283,1.847946242
USGS_09466500,SimulationRaw,0,1929,1982,0.019355188,0.047557187,21.70783537,38.67089036,1.986968523,0.276852933,0.854413494,0.003658233,0.003417067,0.679013449,6.156807718,8.118484946,-3.449489468,18.40038054,0.103292647,0.526391413,6.995931851,0.310734489,360.557328,75.94814545,0.323692094,0.625296161,0.022868709,152.1555642,1.136731469
USGS_09480000,SimulationRaw,0,,,0.042918118,0.058519328,25.60486867,40.25786774,1.24273094,0.503241928,0.691120801,0.030356307,0.04605178,1.044171838,5.768397639,9.49743746,3.985981195,12.87795156,0.025949935,0.58432338,6.29087461,0.36218886,358.5426746,26.27612776,1.995045204,0.660427555,0.022064505,5.528240974,1.302329141
USGS_09492400,SimulationRaw,0,,,0.026733812,0.046078388,2.932100372,12.42298156,1.898567979,0.738970767,0.809861499,0.031816327,0.117966506,0.65926276,4.732771361,8.722997106,3.714580256,19.15782119,0.45168829,0.012717932,2.797006231,0.702412329,344.8623255,71.07612744,0.681239506,0.059572914,0.021680847,291.4508383,1.272339348
USGS_09494000,SimulationRaw,0,,,0.02423975,0.043731787,15.31273027,45.93134133,1.720544035,0.37368419,0.696758181,0.03420419,0.074637977,0.757886855,6.43179858,1.928106787,3.179019223,3.655107741,0.343098054,0.065233296,4.133715959,0.692877831,657.5971909,93.53242285,1.476040578,0.268873446,0.037479538,20.711159,4.356328315
USGS_09498400,SimulationRaw,0,,,0.041616116,0.046907619,20.9694263,45.90620034,0.621410278,0.686791939,0.88687735,0.075971882,0.080161263,0.81390979,3.696758573,6.587868544,-3.749420184,15.44882022,0.506481234,0.703854987,3.594230496,0.612244387,1339.991656,18.10577916,1.796057244,0.015353776,0.020686562,1.235211216,1.38673408
USGS_09498503,SimulationRaw,0,,,0.010056474,0.044185366,14.92495627,9.71897935,1.756536742,0.599143377,0.735816479,0.152112712,0.009525117,1.484013227,4.375354031,0.397726347,4.870284241,2.657963076,0.372230962,0.372079546,6.061851651,0.381219741,204.6704896,50.43854019,1.807095993,0.513401989,0.058531324,291.1538607,1.398209836
USGS_09512280,SimulationRaw,0,,,0.043900624,0.052191844,24.93930785,46.1572857,1.876972643,0.215517774,0.757862134,0.056701286,0.152951801,1.370762952,4.942397036,9.539391983,1.86670764,13.19780475,0.547888582,0.25909452,6.966488764,0.303928577,718.3697077,52.18644275,0.364113155,0.698468366,0.02535567,27.43523872,1.173373727
USGS_09513780,SimulationRaw,0,,,0.014211451,0.060744625,25.28807422,15.80370602,1.733602907,0.598899351,0.891753055,0.004835408,0.131830964,1.409771244,5.38309701,3.471592819,3.675843459,18.07495075,0.765000065,0.353424256,6.832632624,0.466732418,437.0720921,27.1977461,0.280860812,0.680298301,0.02022569,11.54128696,1.211139836
USGS_09513860,SimulationRaw,0,,,0.04636699,0.068406177,25.3455612,42.48057751,1.864420955,0.141803291,0.705803358,0.167146178,0.152476675,1.488201564,6.343499534,9.893421503,-0.535402922,14.1183798,0.748281461,0.163088641,6.986277402,0.382502835,881.9019161,71.68641605,0.544248329,0.492610753,0.020246757,85.60947518,1.255820624
USGS_09535100,SimulationRaw,0,,,0.047291938,0.067828869,25.34641842,36.25777281,1.969700255,0.41169081,0.689673786,0.156448345,0.075520146,1.324211956,5.696217086,9.982918989,2.204331885,9.748001728,0.294841476,0.42450748,6.981078446,0.310230892,1941.37883,27.95514412,1.739607926,0.050108694,0.02024159,209.7647708,1.036553169
USGS_09537200,SimulationRaw,0,,,0.047173078,0.065567441,25.55996625,33.88220039,1.830468534,0.148511456,0.806719638,0.078119125,0.130902449,1.337969679,6.400178665,9.866193707,4.561526605,0,0.061366685,0.565584817,4.873083184,0.325125821,1672.617059,84.51976163,1.578012784,0.037933265,0.021121266,255.7180642,1.08855262
USGS_10023000,SimulationRaw,0,,,0.023139755,0.019498011,10.13320038,40.3541115,1.091989975,0.460155875,0.890889998,0.130475707,0.042010137,1.380713363,5.947736264,2.768666645,-3.599934721,10.15746762,0.32972309,0.721667875,3.572749579,0.41656157,1228.79886,90.16911909,1.433420288,0.020012244,0.023835602,19.02939521,2.433993067
USGS_10113500,SimulationRaw,0,,,0.041364381,0.055855655,17.50481409,23.34921897,1.373668597,0.320681117,0.686704001,0.027550904,0.141266586,0.807587795,3.681815622,4.689202647,-3.389731995,15.10247241,0.81097344,0.640970846,3.357589436,0.955700352,1974.806244,49.62156845,0.717885546,0.044985236,0.021631381,282.9949651,5.913087326
USGS_10146400,SimulationRaw,0,,,0.006311792,0.021068419,23.11539517,22.58935602,0.916426844,0.346436229,0.799663183,0.085035443,0.085037936,1.100088834,5.426253941,0.161518198,0.690468076,11.86691747,0.039401775,0.058311074,6.596532843,0.371149095,1593.139678,67.83981009,0.379168296,0.080304888,0.020417665,191.3234087,1.68059897
USGS_10150500,SimulationRaw,0,,,0.044240205,0.057649689,20.43068906,11.06247448,0.985823765,0.609455737,0.812045133,0.028544416,0.019679151,0.946218887,4.948887859,7.587987052,-2.173730217,12.55615861,0.175078653,0.391858736,3.070133772,0.991521333,1097.694285,31.4196471,0.441395081,0.013149045,0.031446617,290.3943302,3.047866996
USGS_10172700,SimulationRaw,0,,,0.045786202,0.057376818,19.27412321,40.9785086,1.000457877,0.599442372,0.859099323,0.054425982,0.061368478,0.877238895,5.777111486,0.141337629,-2.146676188,15.27431289,0.793619938,0.654683,4.54213896,0.79803785,1612.647607,89.67229981,0.822070568,0.027380102,0.020766303,130.3887171,3.751327422
USGS_10172952,SimulationRaw,0,,,0.035643711,0.01826338,14.1121052,10.4105861,0.6088927,0.953196402,0.723574404,0.116004959,0.012530626,1.015509413,5.885609235,7.65919439,0.48644982,0.583050319,0.974343741,0.058280938,3.70622457,0.673853771,959.0191039,22.71088682,0.364173799,0.089948958,0.027495741,275.2704983,3.164699005
USGS_10205030,SimulationRaw,0,,,0.017628961,0.036167662,12.60639258,29.98301218,1.114671945,0.157897384,0.767813758,0.012999292,0.029975584,0.82523455,5.700938927,6.989566087,-0.034540005,5.489351277,0.565459114,0.060842686,3.281023086,0.764841755,1876.850936,0.959989891,0.86273396,0.04995127,0.020073705,36.67220604,5.98782487
USGS_10215900,SimulationRaw,0,,,0.023808955,0.066247648,17.78661858,17.31304877,1.754305384,0.998591372,0.870797049,0.02598773,0.039332556,0.925451132,5.831394241,9.142466018,1.093321164,3.692596142,0.909692193,0.037061081,0.987723955,0.458458796,602.4368164,80.69816205,1.810966182,0.051884423,0.022166956,14.16652865,5.566143977
USGS_10243700,SimulationRaw,0,,,0.036501997,0.055780733,14.56561312,22.75070824,1.596218947,0.647944582,0.715521452,0.139408479,0.084232391,1.46100253,6.310928987,8.29000591,-4.99763609,6.630822914,0.143008226,0.198941616,3.380009391,0.965119277,1352.272894,80.50390387,0.389657776,0.052442668,0.023091278,64.68998677,5.775506533
USGS_10244950,SimulationRaw,0,,,0.021695924,0.055358819,23.35878006,32.9370936,1.648008737,0.30039671,0.802356409,0.111454785,0.114654186,1.397314298,5.51083518,6.968207206,-2.545363944,13.83965598,0.412138208,0.72623064,1.244519483,0.962714806,619.5621028,78.56587269,1.121480121,0.033236509,0.020069454,259.5759424,3.573686321
USGS_10249280,SimulationRaw,0,,,0.007216552,0.065083671,12.87498894,18.87137952,0.820197819,0.828936957,0.713803829,0.170824612,0.051907608,1.062688056,5.981588172,2.693005353,0.656277965,1.335154697,0.380528263,0.079447561,1.927619825,0.546106386,1541.412306,48.99002073,1.720972743,0.02352746,0.020843313,17.6803126,3.144056586
USGS_10257600,SimulationRaw,0,,,0.037722148,0.055367695,19.84570887,11.01636134,0.822046871,0.25922171,0.800680455,0.118986241,0.146741285,0.846705696,3.529357365,7.001341705,2.623127524,6.795395802,0.522732476,0.539193803,3.662781857,0.321538604,1925.048734,87.93755778,0.684043453,0.089637726,0.020064308,171.4866958,1.104050132
USGS_10257720,SimulationRaw,0,,,0.030532252,0.031503391,20.65531622,33.68267787,1.37939946,0.214357639,0.72250767,0.074075561,0.016550905,0.902188798,4.718417033,9.580702667,4.669350506,19.91437204,0.788833959,0.448230759,3.618008593,0.976684998,1247.055137,38.08276929,1.494998141,0.340444148,0.021536697,112.2446588,1.66687945
USGS_10258000,SimulationRaw,0,,,0.040048617,0.012444167,10.31940831,15.35337213,0.503185636,0.764431743,0.787613754,0.070301151,0.063554107,1.058307421,4.543575984,8.09268347,3.419004656,2.29945511,0.958009026,0.033797131,6.212804122,0.87476807,742.3919671,90.98349113,1.259276314,0.338021834,0.021539011,159.8666762,1.439916022
USGS_10258500,SimulationRaw,0,,,0.017584683,0.051135088,25.36733423,38.27434263,1.724963968,0.567688557,0.825410489,0.001576173,0.058653024,1.051991227,6.305361993,0.169935303,-3.41877259,3.611278667,0.328508784,0.618332436,6.786046815,0.391182019,711.7847065,10.02892157,1.11612186,0.600334975,0.023366987,108.5946087,1.147634635
USGS_10259000,SimulationRaw,0,,,0.042098119,0.017630225,3.773761994,9.878777688,1.410563157,0.605592152,0.708825453,0.078360535,0.070060231,1.131791088,5.064541981,9.293656618,0.807622244,11.70328143,0.864979363,0.699939527,1.515539491,0.861709392,1384.227169,4.193989132,1.48660187,0.13148375,0.020464064,265.1354254,1.265620852
USGS_10259200,SimulationRaw,0,,,0.044772712,0.062240091,24.08356943,38.73652054,1.5364731,0.647187395,0.867892116,0.114983375,0.033226271,0.87353341,5.916688766,5.00998621,2.82678204,2.315380053,0.187861506,0.498037108,6.910816412,0.354642213,412.3902282,74.20394349,1.545348189,0.590212457,0.034343604,25.07844114,1.118204748
USGS_10265150,SimulationRaw,0,,,0.002552518,0.054945107,15.55613351,30.29107828,1.896957724,0.891662332,0.768026013,0.098876071,0.145817547,1.030845918,5.145024738,7.320522248,-0.483899771,0.116255334,0.485991318,0.012840993,0.321109139,0.322193394,1824.997011,0.667126851,1.35216536,0.01363281,0.022669774,196.4712537,1.941011863
